pool_depth,delta_s_frac,user_regime,arb_mode,breach_prob,capital_required,total_cost,expected_profit,net_profit,roi_percent,profit_margin_percent,economically_viable
1000000,0.05,Panic,Slow,0.0,50000.0,50165.75342465754,0,-50165.75342465754,-100.33150684931506,-100,False
1000000,0.1,Normal,Fast,0.0,100000.0,100332.87671232877,0,-100332.87671232877,-100.33287671232878,-100,False
1000000,0.1,Normal,Moderate,0.0,100000.0,100332.87671232877,0,-100332.87671232877,-100.33287671232878,-100,False
1000000,0.1,Normal,Slow,0.0,100000.0,100332.87671232877,0,-100332.87671232877,-100.33287671232878,-100,False
1000000,0.1,Panic,Fast,0.0,100000.0,100332.87671232877,0,-100332.87671232877,-100.33287671232878,-100,False
1000000,0.1,Panic,Moderate,0.0,100000.0,100332.87671232877,0,-100332.87671232877,-100.33287671232878,-100,False
1000000,0.1,Panic,Slow,0.0,100000.0,100332.87671232877,0,-100332.87671232877,-100.33287671232878,-100,False
5000000,0.005,Normal,Fast,0.0,25000.0,25082.568493150688,0,-25082.568493150688,-100.33027397260274,-100,False
5000000,0.005,Normal,Moderate,0.0,25000.0,25082.568493150688,0,-25082.568493150688,-100.33027397260274,-100,False
5000000,0.005,Normal,Slow,0.0,25000.0,25082.568493150688,0,-25082.568493150688,-100.33027397260274,-100,False
5000000,0.005,Panic,Fast,0.0,25000.0,25082.568493150688,0,-25082.568493150688,-100.33027397260274,-100,False
5000000,0.005,Panic,Moderate,0.0,25000.0,25082.568493150688,0,-25082.568493150688,-100.33027397260274,-100,False
5000000,0.005,Panic,Slow,0.0,25000.0,25082.568493150688,0,-25082.568493150688,-100.33027397260274,-100,False
5000000,0.01,Normal,Fast,0.0,50000.0,50165.20547945206,0,-50165.20547945206,-100.33041095890411,-100,False
5000000,0.01,Normal,Moderate,0.0,50000.0,50165.20547945206,0,-50165.20547945206,-100.33041095890411,-100,False
5000000,0.01,Normal,Slow,0.0,50000.0,50165.20547945206,0,-50165.20547945206,-100.33041095890411,-100,False
5000000,0.01,Panic,Fast,0.0,50000.0,50165.20547945206,0,-50165.20547945206,-100.33041095890411,-100,False
5000000,0.01,Panic,Moderate,0.0,50000.0,50165.20547945206,0,-50165.20547945206,-100.33041095890411,-100,False
